	simpson
L377	0.923345586846396
L378	0.975829189927605
L390	0.9167688529802155
L61	0.9146117011071291
L72	0.9675753041923262
L76	0.7761427468362555
L89	0.8434489427234254
L96	0.7864864635342974
M03	0.9254550157698721
M04	0.8496340108538964
M07	0.9559178450899709
M09	0.965642702095758
M103	0.3402784932368753
M10	0.9020073443129875
M112	0.8834769583220754
M113	0.9368113725759333
M114	0.5918628387453941
M132	0.1424773047657777
M134	0.9639687187286473
M140	0.9456764917596355
M149	0.9407077279051954
M151	0.9398461686605796
M155	0.9589785892982746
M158	0.9325906528684438
M159	0.9610307324785275
M161	0.9420300027551032
M162	0.22583917989353208
M165	0.9632869449290152
M16	0.6350078861000201
M170	0.5868577547827272
M172	0.9033750590527962
M173	0.9719184359205524
M183	0.9725609497268459
M188	0.9763853525353632
M18	0.6595682026933507
M208	0.9486676529565617
M21	0.961465055349917
M222	0.865453235888749
M223	0.8383678717460464
M232	0.9731130767164503
M237	0.3933446709469839
M24	0.6914846661032412
M29	0.935794940757935
M303	0.8906289788815703
M319	0.8089466994148871
M31	0.8625847476509864
M32	0.7962017350301867
M334	0.5354120600169299
M358	0.9371242875439579
M359	0.8924232061488718
M367	0.953776924953196
M36	0.8382217534750811
M372	0.09912795856410206
M374	0.9676313866901971
M375	0.9035604302941652
M376	0.9568539214375118
M377	0.8371436152196792
M384	0.9165168058975967
M386	0.0016672949618827815
M390	0.03379625297530142
M39	0.9628017908806265
M40	0.9714977111041091
M42	0.9429716079090695
M47	0.9747506851146094
M54	0.9234880940845511
M55	0.9629407899003375
M56	0.9655709022161895
M57	0.0055294998729035205
M58	0.0059646127531025606
M62	0.9641066239960527
M65	0.026492745063722678
M67	0.9796575838882804
M72	0.9566768907530288
M90	0.21853634838392877
