	pielou_e
F40	0.33465457949123795
F42	0.5714524386440505
F45	0.5134320074761621
F46	0.5674138433255036
F47	0.7065068077066138
F50	0.5173249532890989
F53	0.4968550924694299
F54	0.6736156816265204
F55	0.4396352152043695
F56	0.6822930422110116
F57	0.719098099400425
F58	0.6415812407896063
F61	0.6061930719383991
F62	0.6036183384115831
F65	0.6105013304357576
F67	0.5952016609115308
F72	0.7062336685846978
F76	0.5978069170572881
F77	0.4164698681260025
F79	0.5800236511689166
F85	0.35524831169921056
F89	0.7249436038578124
F90	0.653541797444893
F91	0.6230171283784073
F94	0.6581619493537624
F96	0.5365534135972745
F98	0.6436915792007822
L03	0.56076366870179
L04	0.6567236407635922
L102	0.733206073840974
L103	0.6718734561373045
L107	0.7124878868873548
L108	0.750044819338063
L123	0.6359070076705945
L128	0.6813316374586776
L130	0.6545313210651501
L132	0.6947859758131624
L134	0.6870538658338433
L140	0.6709344123556519
L147	0.6584450719647315
L149	0.660221951521903
L158	0.7002961204602032
L160	0.5913329038203409
L161	0.7632962214446462
L162	0.5429774551719452
L165	0.7333860501342097
L170	0.6159836213668397
L183	0.7723592881267239
L188	0.673063883619631
L18	0.383122881495217
L190	0.6399260299481285
L195	0.6773986716504001
L201	0.6144323994555495
L208	0.7420074191694416
L216	0.6197875927771126
L21	0.6513823555067754
L222	0.6541819468521444
L226	0.7645370789777388
L237	0.6807643010030408
L239	0.674220984556999
L248	0.6457089094995153
L24	0.6735082706272413
L252	0.5878230293763735
L279	0.654864171118437
L287	0.6873969316192909
L288	0.6725723098221681
L293	0.6567905917752752
L297	0.7415456951074473
L303	0.7142819241285133
L30	0.6796873064219339
L319	0.5794064187736416
L31	0.3444991624763318
L320	0.6011301506097763
L327	0.7086716029546929
L32	0.48132907513384726
L359	0.676792206174783
L367	0.7692237511687368
L36	0.61489547848431
L372	0.6395803890690451
L374	0.7339309850649222
L375	0.6006963058284426
L376	0.7360377669320814
L377	0.639577972200999
L378	0.7678948438833333
L390	0.6324787992138822
L61	0.625310193547022
L72	0.8519856208318534
L76	0.6291634484633406
L89	0.6956825591588334
L96	0.5360293336743575
M03	0.6139237717511781
M04	0.5375732152720533
M07	0.7007631437607774
M09	0.700391210310848
M103	0.2433389628903609
M10	0.6298993192808913
M112	0.6391554347731241
M113	0.6910383302505585
M114	0.4152681791452838
M132	0.11809521836966763
M134	0.7357337680135236
M140	0.678454292403367
M149	0.6768703645990509
M151	0.6577858237574441
M155	0.7218477074011137
M158	0.6725900997096811
M159	0.7204659055581384
M161	0.6524131724138192
M162	0.16175541657083592
M165	0.7708070544017522
M16	0.35014474313995286
M170	0.3471685946674809
M172	0.6555800055855499
M173	0.7685318307166388
M183	0.7365763776791879
M188	0.8314492087200261
M18	0.34936007843038824
M208	0.6965213588358302
M21	0.6856825511525404
M223	0.6550676755791418
M232	0.8076736530594208
M237	0.30474111990453395
M24	0.4035999176691247
M29	0.6920007392624131
M303	0.7092632198721543
M319	0.6091716735549056
M31	0.4635284818483339
M32	0.47200860984433685
M334	0.3960931342079806
M358	0.7373893261383451
M359	0.7040739440169322
M367	0.7200001015292573
M36	0.49741759769866756
M372	0.08939979890727939
M374	0.7230196796921944
M375	0.6057929925747277
M376	0.7422544837981547
M377	0.6021072125171587
M384	0.6444345506875879
M386	0.00442421273937111
M390	0.03550098756759896
M39	0.7070925101142066
M40	0.7279347149867478
M42	0.6766339067523203
M47	0.7733799021240065
M54	0.6710078331683955
M55	0.7210326523083163
M56	0.7171513573785827
M57	0.007612336206962938
M58	0.008524494131285369
M62	0.7250363749049686
M65	0.03221013577576097
M67	0.7802502964850513
M72	0.692283313022547
M90	0.1654003092225826
