	shannon
M359	4.32987670913643
M367	5.7998041714076995
M36	3.9708814863683424
M372	0.5789292665055423
M374	6.03629475590936
M375	4.771538772125168
M376	6.335346418748775
M377	4.3049143083275485
M384	5.103189072269512
M386	0.00884842547874222
M390	0.18893370313225186
M39	5.877977275137619
M40	5.93248384665071
M42	5.439405161790265
M47	6.217138381121699
M54	5.390489761186792
M55	6.066500461199626
M56	5.862659049674399
M57	0.0317428710687993
M58	0.039084485929560986
M62	5.804369001997753
M65	0.2000073360001644
M67	6.6505117433221885
M72	5.490317118759649
M90	0.9562386843439602
